,,,,,
ampl.tab 1 5,,,,,
SV,Entropy,TiltedEntropy,CodeLength,AvgAge,PAvgAge
0,8,8,8,11.5,11.5
0.5,7.7075855545,7.7854745318,7.7124496785,11.1231847551,11.8571790345
1,6.2216801481,6.7817020251,6.2646151301,9.2693650216,10.0705126798
1.5,3.9156976214,5.146150827,4.0423671653,6.291942872,7.1943862433
2,2.3181935222,3.7226865805,2.5102190833,3.9977855547,4.7064388136
2.5,1.4624851691,2.7698582654,1.6871900752,2.6455422613,3.6563812058
3,0.9787017108,2.1675180865,1.2201815308,1.8420897448,2.2292945842
3.5,0.6790773912,1.7679673219,0.9275854934,1.3251625192,1.7800481881
4,0.4815549993,1.4840432623,0.7294841553,0.9672319311,1.5223657083
4.5,0.3461873016,1.2705782485,0.5876642524,0.7054509855,1.3625833405
5,0.2510912889,1.1032307684,0.4818690592,0.5061437698,1.2435759175
